2025-11-17 11:52:18,021 - INFO - batch_audio_translate_en_new.py:299 - 单独翻译结果已保存：C:\S2TT\Test_out\seed2_single_txt_results\多信道测试集-八爪鱼\大会议室多信道测试集_4m\ByteDance_1_dialogue_16K\en2zh-09-sport_audio_fanyi_seed2.txt
2025-11-17 11:52:18,024 - INFO - batch_audio_translate_en_new.py:186 - 已更新目录汇总文件：C:\S2TT\Test_out\seed2_txt\多信道测试集-八爪鱼\大会议室多信道测试集_4m\output_en2zh_seed2.txt
2025-11-17 11:52:18,024 - INFO - batch_audio_translate_en_new.py:186 - 已更新目录汇总文件：C:\S2TT\Test_out\seed2_txt\多信道测试集-八爪鱼\大会议室多信道测试集_4m\latency_stats_en2zh_seed2.txt
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:335 - 
【en2zh-09-sport_audio.wav 完整时延统计】
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:339 - 请求开始时间：2025-11-17 11:48:29
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:340 - ASR首字时延：10.407 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:341 - ASR尾字时延：-0.449 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:342 - 翻译首字时延：10.21 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:343 - 翻译尾字时延：0.096 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:344 - 耳口差时延：11.436 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:345 - TTS尾字时延：0.31 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:388 - ===== 第 29/30 个文件 en2zh-09-sport_audio.wav 处理完成！=====
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:268 - 
===== 处理第 30/30 个文件（目录内第 10/10 个）：en2zh-10-art_audio.wav =====
2025-11-17 11:52:18,049 - INFO - ast_demo_en.py:241 - 成功读取音频：en2zh-10-art_audio.wav，共2648个分片
2025-11-17 11:52:18,216 - INFO - ast_demo_en.py:255 - 连接API成功（log_id=20251117115218EBFC3591B5263B0C28A1）
2025-11-17 11:52:18,376 - INFO - ast_demo_en.py:283 - 会话启动成功（session_id=6f0cee8e-54e9-4da1-87b9-d3c73de45f09）
2025-11-17 11:52:18,376 - INFO - ast_demo_en.py:301 - 开始发送音频分片，请求开始时间：1763351538.376460
2025-11-17 11:52:29,023 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=1）：ASR分片=..., 翻译分片=法国..., 音频长度=0
2025-11-17 11:52:29,076 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=1）：ASR分片=..., 翻译分片=的..., 音频长度=0
2025-11-17 11:52:29,118 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=1）：ASR分片=..., 翻译分片=路易..., 音频长度=0
2025-11-17 11:52:29,166 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=1）：ASR分片=..., 翻译分片=十三..., 音频长度=0
2025-11-17 11:52:29,228 - INFO - ast_demo_en.py:338 - 接收有效响应（event=651, seq=1）：ASR分片=Louis the thirteenth of France..., 翻译分片=..., 音频长度=0
2025-11-17 11:52:29,601 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=1）：ASR分片=..., 翻译分片=..., 音频长度=10318
2025-11-17 11:52:29,634 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=1）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:29,689 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=1）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:29,725 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=1）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:29,766 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=1）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:29,808 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=1）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:29,856 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=1）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:29,914 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=1）：ASR分片=..., 翻译分片=..., 音频长度=4096
2025-11-17 11:52:29,915 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=1）：ASR分片=..., 翻译分片=..., 音频长度=572
2025-11-17 11:52:32,528 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=2）：ASR分片=..., 翻译分片=必须..., 音频长度=0
2025-11-17 11:52:32,577 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=2）：ASR分片=..., 翻译分片=呈上..., 音频长度=0
2025-11-17 11:52:32,624 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=2）：ASR分片=..., 翻译分片=一份..., 音频长度=0
2025-11-17 11:52:32,672 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=2）：ASR分片=..., 翻译分片=令人..., 音频长度=0
2025-11-17 11:52:32,720 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=2）：ASR分片=..., 翻译分片=印象..., 音频长度=0
2025-11-17 11:52:32,751 - INFO - ast_demo_en.py:338 - 接收有效响应（event=651, seq=2）：ASR分片=you had to present an i i impr..., 翻译分片=..., 音频长度=0
2025-11-17 11:52:32,761 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=2）：ASR分片=..., 翻译分片=..., 音频长度=10318
2025-11-17 11:52:32,767 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=2）：ASR分片=..., 翻译分片=深刻..., 音频长度=0
2025-11-17 11:52:32,815 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=2）：ASR分片=..., 翻译分片=的..., 音频长度=0
